id;nombre;descripcion;activated;deleted;created_by;created_date;last_modified_by;last_modified_date
1;Consultar permisos;Consultar permisos;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:35
2;Editar permisos;Editar permisos;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:36
3;Agregar permisos;Agregar permisos;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:37
4;Eliminar permisos;Eliminar permisos;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:38
5;Consultar candidatos;Consultar candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:35
6;Editar candidatos;Editar candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:36
7;Agregar candidatos;Agregar candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:37
8;Eliminar candidatos;Eliminar candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:38
9;Consultar requerimientos;Consultar requerimiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:39
10;Editar requerimientos;Editar requerimiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:40
11;Agregar requerimientos;Agregar requerimiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:41
12;Eliminar requerimientos;Eliminar requerimiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
13;Consultar documento;Consultar documento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
14;Editar documento;Editar documento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
15;Agregar documento;Agregar documento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
16;Eliminar documento;Eliminar documento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
17;Consultar formación académica;Consultar formación académica;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
18;Editar formación académica;Editar formación académica;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
19;Agregar formación académica;Agregar formación académica;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
20;Eliminar formación académica;Eliminar formación académica;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
21;Consultar colonia;Consultar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
22;Editar colonia;Editar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
23;Agregar colonia;Agregar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
24;Eliminar colonia;Eliminar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
25;Consultar municipio;Eliminar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
26;Editar municipio;Eliminar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
27;Agregar municipio;Eliminar colonia;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
