id;colonia;municipio_id;codigo_postal_id
1;Zona Centro;1;1
2;Delegación de La Secretaria de Comercio y Fomento Industrial;1;2
3;Palacio de Gobierno del Estado de Aguascalientes;1;3
4;San Cayetano;1;4
5;Colinas del Rio;1;4
6;Las Brisas;1;4
7;Olivares Santana;1;4
8;Ramon Romo Franco;1;4
9;La Fundición;1;5
10;Los Sauces;1;5
11;Fundición II;1;5
12;Colinas de San Ignacio;1;5
13;Línea de Fuego;1;6
14;Buenos Aires;1;7
15;Las Arboledas;1;7
16;Circunvalación Norte;1;7
17;Villas de San Francisco;1;7
18;Villas de La Universidad;1;8
19;Gremial;1;9
20;Industrial;1;9
21;El Sol;1;9
22;Curtidores;1;10
23;Altavista;1;10
24;La Concordia;1;10
25;Miravalle;1;10
26;Panorama;1;10
27;Colinas del Poniente;1;11
28;La Fe;1;12
29;México;1;12
30;San Pablo;1;12
31;Primavera;1;12
32;Bugambilias;1;12
33;Del Carmen;1;12
34;Guadalupe;1;13
35;Heliodoro Garcia;1;13
36;Gómez;1;14
37;Moderno;1;14
38;Valle del Rio San Pedro;1;15
39;San Marcos;1;16
40;Guadalupe Posada;1;16
41;San Marcos;1;16
42;San Marcos;1;17
43;Modelo;1;18
44;Residencial del Valle I;1;18
45;Residencial del Valle II;1;19
46;Campestre La Herradura;1;20
47;Los Vergeles;1;20
48;Campestre 2a. Sección;1;20
49;La Querencia;1;20
50;Jardines del Campestre;1;20
51;Club Campestre;1;20
52;Rancho San Antonio;1;20
53;Campestre 1a. Sección;1;20
54;Valle del Campestre;1;21
55;Las Cavas;1;21
56;Granjas del Campestre;1;21
57;Puerto las Hadas;1;21
58;Talamantes Ponce;1;21
59;Villas de Montenegro;1;21
60;Villa de las Trojes;1;22
61;Trojes de Oriente 1a Sección;1;22
62;Valle de las Trojes;1;22
63;Trojes de Oriente 2a Sección;1;22
64;La Paloma;1;22
65;Villas de San Nicolás;1;22
66;Barrio de Santiago;1;22
67;La Troje;1;23
68;Trojes de Alonso;1;23
69;Santa Fe;1;23
70;Aguascalientes 2000;1;24
71;Trojes del Sol;1;25
72;Los Jarales;1;25
73;Valle del Campanario;1;25
74;Las Misiones;1;25
75;Cerrada El Molino;1;25
76;Misión del Campanario;1;25
77;Cerrada del Valle;1;25
78;Valle Real;1;25
79;Terzetto;1;25
80;Trojes de Kristal;1;25
81;Las Trojes;1;25
82;Cerrada de La Misión;1;25
83;Lomas del Campestre 2a Sección;1;26
84;Villas del Campestre;1;26
85;Los Calicantos;1;26
86;Jardines de La Concepción 1a Sección;1;27
87;Jardines de La Concepción 2a Sección;1;27
88;Rinconada los Bosques;1;27
89;Los Bosques;1;27
90;Arroyo El Molino;1;28
91;Galerías;1;29
92;Residencial Altaria;1;29
93;Villa de Nuestra Señora de La Asunción Sector San Marcos;1;30
94;Privada Guadalupe;1;30
95;Villas de La Convención;1;30
96;Lomas de La Asunción;1;30
97;Villa de Nuestra Señora de La Asunción Sector Encino;1;30
98;Villa de Nuestra Señora de La Asunción Sector Alameda;1;30
99;San José de Pozo Bravo;1;30
100;Villa Notre Dame;1;30
101;Constitución;1;30
102;Pozo Bravo Norte;1;30
103;Villa de Nuestra Señora de La Asunción Sector Guadalupe;1;30
104;Villa de Nuestra Señora de La Asunción Sector Estación;1;30
105;Residencial las Plazas;1;30
106;Montebello Della Stanza;1;30
107;Soberana Convención Revolucionaria;1;30
108;El Rosedal;1;30
109;Villa Loma Dorada;1;30
110;Libertad;1;30
111;Natura;1;30
112;Rinconada Pozo Bravo;1;30
113;Pozo Bravo Sur;1;30
114;Los Naranjos;1;30
115;Jardines de Montebello;1;30
116;Villa Teresa;1;30
117;Bosques del Prado Norte;1;31
118;Lomas del Campestre 1a Sección;1;32
119;Fátima;1;33
120;Primo Verdad;1;33
121;Unidad Ganadera;1;33
122;Nueva Rinconada;1;33
123;Puerta Navarra;1;33
