id;institucion
1;Benemerita Universidad Autonoma de Puebla
2;CCPC
3;CECYT
4;Centro de Computacion Profesional de Mexico (CCPM)
5;Centro de Estudios de la Comunicacion Social
6;Centro de Estudios en Ciencias de la Comunicacion (CEECC)
7;Centro de Estudios Superiores Azteca
8;Centro de Estudios Universitarios Fray Luca Paccioli
9;Centro de Estudios Universitarios Londres
10;Centro Educativo Latino
11;Centro Universitario Columbia
12;Centro Universitario de Ciencias Exactas e Ingieneria
13;Centro Universitario de Comunicacion (CUC)
14;Centro Universitario de Ixtlahuaca
15;Centro Universitario Grupo Sol
16;Centro Universitario Hipocrates
17;Centro Universitario Oriente de Mexico
18;Centro Universitario San Angel
19;CETIS 7
20;Colegio de Competitividad Academica y Profesional
21;Colegio de Mexico
22;Colegio Nacional de Capacitacion Intensiva (CNCI)
23;Colegio Nacional de Educacion Profesional Tecnica Tlalpan I
24;Colegio Nacional de Matematicas
25;CONALEP
26;ECOTEC
27;ECPI University (Electronic Computer Programming Institute)
28;ESAD
29;Escuela Bancaria y Comercial
30;Escuela Nacional de Artes Plasticas
31;EXTRANJERO
32;ICEL
33;ICM
34;Instituto Cumbre
35;Instituto de Cibernetica y Computacion
36;Instituto de Estudios Superiores de Oaxaca
37;Instituto de Estudios Superiores del Colegio Holandes
38;Instituto de Estudios Superiores del Estado (IESE)
39;Instituto de Estudios Universitarios
40;Instituto Leonardo Bravo
41;Instituto Mexicano de Informatica y Computacion Electronica
42;Instituto Poblano de Estudios Superiores
43;Instituto Superior del Oriente del Edo de Hidalgo
44;Instituto Superior Tecnologico Reyna de las Americas
45;Instituto Tecnico y Bancario San Carlos
46;Instituto Tecnologico de Acapulco
47;Instituto Tecnologico de Aguascalientes
48;Instituto Tecnologico de Apizaco
49;Instituto Tecnologico de Celaya
50;Instituto Tecnologico de Cerro Azul
51;Instituto Tecnologico de Chilpancingo
52;Instituto Tecnologico de Ciudad Jimenez Chihuahua
53;Instituto Tecnologico de Ciudad Madero
54;Instituto Tecnologico de Ciudad Victoria
55;Instituto Tecnologico de Colima
56;Instituto Tecnologico de Cuautla
57;Instituto Tecnologico de Culiacan
58;Instituto Tecnologico de Durango
59;Instituto Tecnologico de Ecatepec
60;Instituto Tecnologico de Estudios Superiores de Chalco
61;Instituto Tecnologico de Estudios Superiores de Ecatepec
62;Instituto Tecnologico de Estudios Superiores de Huachinango
63;Instituto Tecnologico de Estudios Superiores de Ixtapaluca
64;Instituto Tecnologico de Estudios Superiores de Occidente
65;Instituto Tecnologico de Gustavo A. Madero
66;Instituto Tecnologico de Iguala
67;Instituto Tecnologico de Jiquilpan
68;Instituto Tecnologico de la Laguna
69;Instituto Tecnologico de Leon
70;Instituto Tecnologico de Merida
71;Instituto Tecnologico de Minatitlan
72;Instituto Tecnologico de Morelia
