id;nombre;descripcion;activated;deleted;created_by;created_date;last_modified_by;last_modified_date
1;back-end;deliverables;false;false;Ameliorated alarm Venezuela;2019-07-08T13:03:48;XSS streamline;2019-07-07T20:15:59
2;open-source Credit Card Account;Strategist Customizable;true;true;salmon;2019-07-08T08:01:01;utilisation Communications;2019-07-07T16:55:08
3;Computer Games;Inverse Cloned quantifying;true;true;Executive Synergistic;2019-07-08T06:26:23;Bahrain wireless Mali;2019-07-08T01:25:32
4;Multi-channelled;Berkshire Keyboard Branding;true;false;Practical AI Ports;2019-07-07T22:09:09;actuating haptic;2019-07-08T13:26:55
5;bleeding-edge Associate neural;pink Synergized;false;true;input;2019-07-07T22:02:12;Electronics Fresh;2019-07-08T00:18:15
6;Pizza Enterprise-wide Division;Producer quantify;false;true;Practical;2019-07-08T07:53:14;interactive target primary;2019-07-08T07:12:32
7;Stravenue seize;index;true;false;sky blue;2019-07-08T13:52:42;impactful;2019-07-07T21:57:21
8;motivating project;reinvent Human;true;true;Ridge;2019-07-08T02:44:51;Gloves Auto Loan Account customized;2019-07-07T18:36:10
9;Chips;Rubber green;false;false;alarm hacking help-desk;2019-07-07T20:58:09;Executive SCSI;2019-07-08T13:18:42
10;firewall toolset Administrator;Liaison Saint Helena Pound;true;false;Agent;2019-07-07T16:37:14;deposit Steel;2019-07-07T23:39:02
